ubigeoCode,departament,province,district,populationCenter,description,length,latitude,altitude,population,livingPlace,timeMinutesToDistrictCapital,language,createdAt,updatedAt
,,,,CARACOL,,,,,,,,,2023-05-09T18:12:28.414,2023-05-09T18:12:28.414
,,,,ALTO CUBANTIA,,,,,,,,,2023-05-10T18:12:28.414,2023-05-10T18:12:28.414
,,,,VISTA ALEGRE,,,,,,,,,2023-05-11T18:12:28.414,2023-05-11T18:12:28.414
,,,,PARUA,,,,,,,,,2023-05-12T18:12:28.414,2023-05-12T18:12:28.414
,,,,SAN JOSE DE TINCO,,,,,,,,,2023-05-13T18:12:28.414,2023-05-13T18:12:28.414
,,,,YUNGOR PAMPA,,,,,,,,,2023-05-14T18:12:28.414,2023-05-14T18:12:28.414
,,,,SAN JUAN,,,,,,,,,2023-05-15T18:12:28.414,2023-05-15T18:12:28.414
,,,,JATUNHUASI,,,,,,,,,2023-05-16T18:12:28.414,2023-05-16T18:12:28.414
,,,,TOROLUMI,,,,,,,,,2023-05-17T18:12:28.414,2023-05-17T18:12:28.414
,,,,SANTA ROSA DE CULLPAPATA,,,,,,,,,2023-05-18T18:12:28.414,2023-05-18T18:12:28.414
,,,,SEÑOR DE LUREN,,,,,,,,,2023-05-19T18:12:28.414,2023-05-19T18:12:28.414
,,,,COGONTIA,,,,,,,,,2023-05-20T18:12:28.414,2023-05-20T18:12:28.414
,,,,ANTIGUO SHIMAPANGO,,,,,,,,,2023-05-21T18:12:28.414,2023-05-21T18:12:28.414
,,,,SHIROTIARI,,,,,,,,,2023-05-22T18:12:28.414,2023-05-22T18:12:28.414
,,,,SANTA ROSA DE SANGARENI,,,,,,,,,2023-05-23T18:12:28.414,2023-05-23T18:12:28.414
,,,,SAN JUAN DE SANGARENI,,,,,,,,,2023-05-24T18:12:28.414,2023-05-24T18:12:28.414
,,,,LIBERTAD DE SANGARENI,,,,,,,,,2023-05-25T18:12:28.414,2023-05-25T18:12:28.414
,,,,MAPOTOA,,,,,,,,,2023-05-26T18:12:28.414,2023-05-26T18:12:28.414
,,,,NUEVO PARAISO,,,,,,,,,2023-05-27T18:12:28.414,2023-05-27T18:12:28.414
,,,,NUEVA GENERACION,,,,,,,,,2023-05-28T18:12:28.414,2023-05-28T18:12:28.414
,,,,MAYOR PITENE,,,,,,,,,2023-05-29T18:12:28.414,2023-05-29T18:12:28.414
,,,,VALLE HERMOSA,,,,,,,,,2023-05-30T18:12:28.414,2023-05-30T18:12:28.414
,,,,SAN LUIS,,,,,,,,,2023-05-31T18:12:28.414,2023-05-31T18:12:28.414
,,,,PACHACUTEC DE ANAPATE,,,,,,,,,2023-06-01T18:12:28.414,2023-06-01T18:12:28.414
,,,,MONTE LOS OLIVOS,,,,,,,,,2023-06-02T18:12:28.414,2023-06-02T18:12:28.414
,,,,UNION SANTO DOMINGO,,,,,,,,,2023-06-03T18:12:28.414,2023-06-03T18:12:28.414
,,,,YANERIATO,,,,,,,,,2023-06-04T18:12:28.414,2023-06-04T18:12:28.414
